dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
ENA24,https://storage.googleapis.com/public-datasets-lila/ena24/images/9594.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/ena24/images/9594.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/ena24/images/9594.jpg,ENA24 : 9594,ENA24 : unknown,ENA24,-1,american black bear,ursus americanus,american black bear,,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus americanus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub002/2010_Unit158_Ivan025_img0153.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub002/2010_Unit158_Ivan025_img0153.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub002/2010_Unit158_Ivan025_img0153.jpg,NACTI : 2010_Unit158_Ivan025_img0153.jpg,NACTI : unknown,NACTI : sanjuan_2010_Unit158_Ivan025,-1,ursus americanus,ursus americanus,american black bear,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus americanus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub035/CA-03_06_07_2016_CA-03_0022141.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub035/CA-03_06_07_2016_CA-03_0022141.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub035/CA-03_06_07_2016_CA-03_0022141.JPG,NACTI : CA-03_06_07_2016_CA-03_0022141.JPG,NACTI : unknown,NACTI : lebec_CA-03,-1,ursus americanus,ursus americanus,american black bear,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus americanus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub002/2010_Unit158_Ivan025_img0155.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub002/2010_Unit158_Ivan025_img0155.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub002/2010_Unit158_Ivan025_img0155.jpg,NACTI : 2010_Unit158_Ivan025_img0155.jpg,NACTI : unknown,NACTI : sanjuan_2010_Unit158_Ivan025,-1,ursus americanus,ursus americanus,american black bear,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus americanus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub034/CA-02_06_07_2016_CA-02_0016513.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub034/CA-02_06_07_2016_CA-02_0016513.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub034/CA-02_06_07_2016_CA-02_0016513.JPG,NACTI : CA-02_06_07_2016_CA-02_0016513.JPG,NACTI : unknown,NACTI : lebec_CA-02,-1,ursus americanus,ursus americanus,american black bear,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus americanus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub034/CA-02_06_07_2016_CA-02_0016488.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub034/CA-02_06_07_2016_CA-02_0016488.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub034/CA-02_06_07_2016_CA-02_0016488.JPG,NACTI : CA-02_06_07_2016_CA-02_0016488.JPG,NACTI : unknown,NACTI : lebec_CA-02,-1,ursus americanus,ursus americanus,american black bear,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus americanus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub048/CA-13_06_06_2016_CA-13_0008979.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub048/CA-13_06_06_2016_CA-13_0008979.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub048/CA-13_06_06_2016_CA-13_0008979.JPG,NACTI : CA-13_06_06_2016_CA-13_0008979.JPG,NACTI : unknown,NACTI : lebec_CA-13,-1,ursus americanus,ursus americanus,american black bear,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus americanus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub035/CA-03_07_08_2016_CA-03_0024511.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub035/CA-03_07_08_2016_CA-03_0024511.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub035/CA-03_07_08_2016_CA-03_0024511.JPG,NACTI : CA-03_07_08_2016_CA-03_0024511.JPG,NACTI : unknown,NACTI : lebec_CA-03,-1,ursus americanus,ursus americanus,american black bear,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus americanus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub027/2016_Unit074_Ivan090_img2503.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub027/2016_Unit074_Ivan090_img2503.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub027/2016_Unit074_Ivan090_img2503.jpg,NACTI : 2016_Unit074_Ivan090_img2503.jpg,NACTI : unknown,NACTI : sanjuan_2016_Unit074_Ivan090,-1,ursus americanus,ursus americanus,american black bear,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus americanus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub005/2010_Unit170_Ivan045_img0101.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub005/2010_Unit170_Ivan045_img0101.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub005/2010_Unit170_Ivan045_img0101.jpg,NACTI : 2010_Unit170_Ivan045_img0101.jpg,NACTI : unknown,NACTI : sanjuan_2010_Unit170_Ivan045,-1,ursus americanus,ursus americanus,american black bear,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus americanus,,
