dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
Snapshot Serengeti,https://storage.googleapis.com/public-datasets-lila/snapshotserengeti-unzipped/S6/E09/E09_R2/S6_E09_R2_IMAG0314.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshotserengeti-unzipped/S6/E09/E09_R2/S6_E09_R2_IMAG0314.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshotserengeti-unzipped/S6/E09/E09_R2/S6_E09_R2_IMAG0314.JPG,Snapshot Serengeti : S6/E09/E09_R2/S6_E09_R2_IMAG0314,Snapshot Serengeti : SER_S6#E09#2#107,Snapshot Serengeti : E09,2,otherbird,aves,bird,03-09-2013 15:21:57,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0150/1287.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0150/1287.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0150/1287.jpg,WCS Camera Traps : fdab179a-92d4-11e9-8631-000d3a74c7de,WCS Camera Traps : bol-015-d0062-6,WCS Camera Traps : 851,5,unknown bird,aves,bird,10-16-2011 08:17:46,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Wellington Camera Traps,https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/221016065056027bs241.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wellington-unzipped/images/221016065056027bs241.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/wellington-unzipped/images/221016065056027bs241.JPG,Wellington Camera Traps : 221016065056027bs241,Wellington Camera Traps : 15257,Wellington Camera Traps : 027b,0,bird,aves,bird,10-22-2016 06:50:00,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/598acf18-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/598acf18-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/598acf18-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 598acf18-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6fead023-5567-11e8-acb6-dca9047ef277,Caltech Camera Traps : 23,1,bird,aves,bird,07-02-2014 10:40:08,image,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0059/1059.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0059/1059.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0059/1059.jpg,WCS Camera Traps : dcba62a9-92d4-11e9-81f2-000d3a74c7de,WCS Camera Traps : bol-018-d0072-20,WCS Camera Traps : 689,5,unknown bird,aves,bird,09-21-2012 15:21:36,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Wellington Camera Traps,https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/210316175440022as465.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wellington-unzipped/images/210316175440022as465.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/wellington-unzipped/images/210316175440022as465.JPG,Wellington Camera Traps : 210316175440022as465,Wellington Camera Traps : 14445,Wellington Camera Traps : 022a,1,bird,aves,bird,03-21-2016 17:54:00,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
SWG Camera Traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0404/2020/03/image_00187.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/public/lao/loc_0404/2020/03/image_00187.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/public/lao/loc_0404/2020/03/image_00187.jpg,SWG Camera Traps : ca8cbce2-8c29-11eb-904d-000d3a74c7de,SWG Camera Traps : 3b041394-8c2a-11eb-81a6-000d3a74c7de,SWG Camera Traps : loc_0404,2,unidentified_bird,aves,bird,03-13-2020 06:54:45,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Wellington Camera Traps,https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/300316180436047a1161.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wellington-unzipped/images/300316180436047a1161.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/wellington-unzipped/images/300316180436047a1161.JPG,Wellington Camera Traps : 300316180436047a1161,Wellington Camera Traps : 54372,Wellington Camera Traps : 047a,0,bird,aves,bird,03-30-2016 18:04:00,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5983073a-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5983073a-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5983073a-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5983073a-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 70139073-5567-11e8-aa52-dca9047ef277,Caltech Camera Traps : 61,3,bird,aves,bird,09-13-2013 08:47:46,image,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Wellington Camera Traps,https://storage.googleapis.com/public-datasets-lila/wellington-unzipped/images/211016134854027cs082.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wellington-unzipped/images/211016134854027cs082.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/wellington-unzipped/images/211016134854027cs082.JPG,Wellington Camera Traps : 211016134854027cs082,Wellington Camera Traps : 38033,Wellington Camera Traps : 027c,1,bird,aves,bird,10-21-2016 13:48:00,sequence,animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
