dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
Trail Camera Images of New Zealand Animals,https://storage.googleapis.com/public-datasets-lila/nz-trailcams/PS1/deer/a50bf2c2-7808-425e-800b-ee8e6424a022.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nz-trailcams/PS1/deer/a50bf2c2-7808-425e-800b-ee8e6424a022.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nz-trailcams/PS1/deer/a50bf2c2-7808-425e-800b-ee8e6424a022.JPG,Trail Camera Images of New Zealand Animals : PS1/deer/a50bf2c2-7808-425e-800b-ee8e6424a022.JPG,Trail Camera Images of New Zealand Animals : unknown,Trail Camera Images of New Zealand Animals : PS1_CAM7920,-1,deer,cervidae,deer,11-24-2021 12:27:54,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,,,,,,
Trail Camera Images of New Zealand Animals,https://storage.googleapis.com/public-datasets-lila/nz-trailcams/MIS/deer/db8057dc-7f5d-4279-a4be-5c543eb5dd84.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nz-trailcams/MIS/deer/db8057dc-7f5d-4279-a4be-5c543eb5dd84.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nz-trailcams/MIS/deer/db8057dc-7f5d-4279-a4be-5c543eb5dd84.JPG,Trail Camera Images of New Zealand Animals : MIS/deer/db8057dc-7f5d-4279-a4be-5c543eb5dd84.JPG,Trail Camera Images of New Zealand Animals : unknown,Trail Camera Images of New Zealand Animals : MIS_HV0456,-1,deer,cervidae,deer,,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,,,,,,
Idaho Camera Traps,https://storage.googleapis.com/public-datasets-lila/idaho-camera-traps/public/loc_0080/loc_0080_im_004097.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/idaho-camera-traps/public/loc_0080/loc_0080_im_004097.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/idaho-camera-traps/public/loc_0080/loc_0080_im_004097.jpg,Idaho Camera Traps : loc_0080_im_004097,Idaho Camera Traps : loc_0080_seq_000477,Idaho Camera Traps : 80,4,deer,odocoileus,deer,05-17-2016 20:34:28,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,capreolinae,odocoileini,odocoileus,,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part1/sub198/FL-16_10_01_2015_FL-16_0091393.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part1/sub198/FL-16_10_01_2015_FL-16_0091393.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part1/sub198/FL-16_10_01_2015_FL-16_0091393.jpg,NACTI : FL-16_10_01_2015_FL-16_0091393.jpg,NACTI : unknown,NACTI : archbold_FL-16,-1,unidentified deer,odocoileus,deer,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,capreolinae,odocoileini,odocoileus,,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part1/sub198/FL-16_08_05_2016_FL-16_0141263.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part1/sub198/FL-16_08_05_2016_FL-16_0141263.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part1/sub198/FL-16_08_05_2016_FL-16_0141263.JPG,NACTI : FL-16_08_05_2016_FL-16_0141263.JPG,NACTI : unknown,NACTI : archbold_FL-16,-1,unidentified deer,odocoileus,deer,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,capreolinae,odocoileini,odocoileus,,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/59c99cb6-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/59c99cb6-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/59c99cb6-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 59c99cb6-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 7011af78-5567-11e8-9b9d-dca9047ef277,Caltech Camera Traps : 41,3,deer,odocoileus,deer,06-05-2014 20:02:01,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,capreolinae,odocoileini,odocoileus,,,
Idaho Camera Traps,https://storage.googleapis.com/public-datasets-lila/idaho-camera-traps/public/loc_0128/loc_0128_im_001787.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/idaho-camera-traps/public/loc_0128/loc_0128_im_001787.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/idaho-camera-traps/public/loc_0128/loc_0128_im_001787.jpg,Idaho Camera Traps : loc_0128_im_001787,Idaho Camera Traps : loc_0128_seq_000290,Idaho Camera Traps : 128,4,deer,odocoileus,deer,08-02-2016 18:13:39,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,capreolinae,odocoileini,odocoileus,,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part2/sub207/FL-17_11_02_2015_FL-17_0062415.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part2/sub207/FL-17_11_02_2015_FL-17_0062415.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part2/sub207/FL-17_11_02_2015_FL-17_0062415.jpg,NACTI : FL-17_11_02_2015_FL-17_0062415.jpg,NACTI : unknown,NACTI : archbold_FL-17,-1,unidentified deer,odocoileus,deer,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,capreolinae,odocoileini,odocoileus,,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part2/sub207/FL-17_11_02_2015_FL-17_0061811.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part2/sub207/FL-17_11_02_2015_FL-17_0061811.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part2/sub207/FL-17_11_02_2015_FL-17_0061811.jpg,NACTI : FL-17_11_02_2015_FL-17_0061811.jpg,NACTI : unknown,NACTI : archbold_FL-17,-1,unidentified deer,odocoileus,deer,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,capreolinae,odocoileini,odocoileus,,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part2/sub285/FL-40_12_07_2015_FL-40_0004001.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part2/sub285/FL-40_12_07_2015_FL-40_0004001.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part2/sub285/FL-40_12_07_2015_FL-40_0004001.jpg,NACTI : FL-40_12_07_2015_FL-40_0004001.jpg,NACTI : unknown,NACTI : archbold_FL-40,-1,unidentified deer,odocoileus,deer,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,capreolinae,odocoileini,odocoileus,,,
