dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5a0fd162-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5a0fd162-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5a0fd162-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5a0fd162-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f0bd819-5567-11e8-8b5b-dca9047ef277,Caltech Camera Traps : 43,1,bobcat,lynx rufus,bobcat,12-02-2011 01:08:10,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/59be406b-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/59be406b-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/59be406b-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 59be406b-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f073d0a-5567-11e8-ab82-dca9047ef277,Caltech Camera Traps : 7,1,bobcat,lynx rufus,bobcat,12-30-2011 11:49:53,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5a2af618-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5a2af618-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5a2af618-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5a2af618-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f12819c-5567-11e8-9453-dca9047ef277,Caltech Camera Traps : 28,1,bobcat,lynx rufus,bobcat,07-17-2011 14:43:39,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/59b7a782-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/59b7a782-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/59b7a782-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 59b7a782-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f18cf3d-5567-11e8-93f8-dca9047ef277,Caltech Camera Traps : 46,2,bobcat,lynx rufus,bobcat,04-27-2012 02:44:05,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/58adc1d5-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/58adc1d5-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/58adc1d5-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 58adc1d5-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f0d6e14-5567-11e8-89cb-dca9047ef277,Caltech Camera Traps : 130,3,bobcat,lynx rufus,bobcat,04-01-2012 20:54:46,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub042/CA-08_12_08_2015_CA-08_0007296.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub042/CA-08_12_08_2015_CA-08_0007296.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub042/CA-08_12_08_2015_CA-08_0007296.jpg,NACTI : CA-08_12_08_2015_CA-08_0007296.jpg,NACTI : unknown,NACTI : lebec_CA-08,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/5879d456-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/5879d456-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/5879d456-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 5879d456-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f19d140-5567-11e8-9950-dca9047ef277,Caltech Camera Traps : 105,1,bobcat,lynx rufus,bobcat,12-17-2011 20:04:21,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/58cca663-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/58cca663-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/58cca663-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 58cca663-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 700f5597-5567-11e8-a3f3-dca9047ef277,Caltech Camera Traps : 120,1,bobcat,lynx rufus,bobcat,03-08-2012 19:15:00,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
NACTI,https://storage.googleapis.com/public-datasets-lila/nacti-unzipped/part0/sub034/CA-03_03_18_2016_CA-03_0019649.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nacti-unzipped/part0/sub034/CA-03_03_18_2016_CA-03_0019649.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/nacti-unzipped/part0/sub034/CA-03_03_18_2016_CA-03_0019649.JPG,NACTI : CA-03_03_18_2016_CA-03_0019649.JPG,NACTI : unknown,NACTI : lebec_CA-03,-1,lynx rufus,lynx rufus,bobcat,,unknown,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,https://storage.googleapis.com/public-datasets-lila/caltech-unzipped/cct_images/58cfcae8-23d2-11e8-a6a3-ec086b02610b.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/caltech-unzipped/cct_images/58cfcae8-23d2-11e8-a6a3-ec086b02610b.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/caltech-unzipped/cct_images/58cfcae8-23d2-11e8-a6a3-ec086b02610b.jpg,Caltech Camera Traps : 58cfcae8-23d2-11e8-a6a3-ec086b02610b,Caltech Camera Traps : 6f0d14f0-5567-11e8-baf7-dca9047ef277,Caltech Camera Traps : 130,3,bobcat,lynx rufus,bobcat,11-11-2011 07:42:45,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
