dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0036/0353.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0036/0353.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0036/0353.jpg,WCS Camera Traps : d432b35c-92d4-11e9-8a91-000d3a74c7de,WCS Camera Traps : idn-002-d0111-7,WCS Camera Traps : 550,1,panthera tigris,panthera tigris,tiger,10-25-1999 16:51:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera tigris,,
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0325/0406.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0325/0406.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0325/0406.jpg,WCS Camera Traps : 3dd3a6b1-92d5-11e9-ab75-000d3a74c7de,WCS Camera Traps : idn-001-d0263-8,WCS Camera Traps : 1705,1,panthera tigris,panthera tigris,tiger,10-25-1998 16:20:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera tigris,,
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0325/0407.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0325/0407.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0325/0407.jpg,WCS Camera Traps : 3dd3a6b3-92d5-11e9-9565-000d3a74c7de,WCS Camera Traps : idn-001-d0263-9,WCS Camera Traps : 1705,1,panthera tigris,panthera tigris,tiger,10-27-1998 15:24:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera tigris,,
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0325/0515.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0325/0515.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0325/0515.jpg,WCS Camera Traps : 3dd861a3-92d5-11e9-99bc-000d3a74c7de,WCS Camera Traps : idn-001-d0256-18,WCS Camera Traps : 1709,1,panthera tigris,panthera tigris,tiger,10-24-1998 14:42:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera tigris,,
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0325/0776.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0325/0776.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0325/0776.jpg,WCS Camera Traps : 3de42151-92d5-11e9-8020-000d3a74c7de,WCS Camera Traps : idn-001-d0150-19,WCS Camera Traps : 1729,1,panthera tigris,panthera tigris,tiger,11-20-1998 07:40:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera tigris,,
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0325/1183.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0325/1183.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0325/1183.jpg,WCS Camera Traps : 3df64a29-92d5-11e9-b9e4-000d3a74c7de,WCS Camera Traps : idn-001-d0236-15,WCS Camera Traps : 1750,1,panthera tigris,panthera tigris,tiger,02-04-1999 05:24:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera tigris,,
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0325/1224.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0325/1224.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0325/1224.jpg,WCS Camera Traps : 3df81ede-92d5-11e9-a89d-000d3a74c7de,WCS Camera Traps : idn-001-d0210-8,WCS Camera Traps : 1754,1,panthera tigris,panthera tigris,tiger,01-25-1999 00:00:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera tigris,,
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0325/1348.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0325/1348.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0325/1348.jpg,WCS Camera Traps : 3dfdeb5e-92d5-11e9-a83a-000d3a74c7de,WCS Camera Traps : idn-001-d0232-25,WCS Camera Traps : 1754,1,panthera tigris,panthera tigris,tiger,01-25-1999 17:30:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera tigris,,
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0325/1354.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0325/1354.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0325/1354.jpg,WCS Camera Traps : 3dfe3917-92d5-11e9-b184-000d3a74c7de,WCS Camera Traps : idn-001-d0232-30,WCS Camera Traps : 1754,1,panthera tigris,panthera tigris,tiger,01-29-1999 11:00:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera tigris,,
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0325/1355.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0325/1355.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0325/1355.jpg,WCS Camera Traps : 3dfe3919-92d5-11e9-910a-000d3a74c7de,WCS Camera Traps : idn-001-d0232-31,WCS Camera Traps : 1754,1,panthera tigris,panthera tigris,tiger,01-29-1999 11:03:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera tigris,,
