dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
SWG Camera Traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0680/2018/08/image_00056.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/public/lao/loc_0680/2018/08/image_00056.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/public/lao/loc_0680/2018/08/image_00056.jpg,SWG Camera Traps : d686dbe2-8c29-11eb-be0f-000d3a74c7de,SWG Camera Traps : 0a1af658-8c2a-11eb-b7fb-000d3a74c7de,SWG Camera Traps : loc_0680,10,asiatic_black_bear,ursus thibetanus,asian black bear,08-15-2018 18:19:23,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus thibetanus,,
SWG Camera Traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0544/2020/07/image_00131.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/public/lao/loc_0544/2020/07/image_00131.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/public/lao/loc_0544/2020/07/image_00131.jpg,SWG Camera Traps : cce0c569-8c29-11eb-ac04-000d3a74c7de,SWG Camera Traps : f7031829-8c29-11eb-98d7-000d3a74c7de,SWG Camera Traps : loc_0544,116,asiatic_black_bear,ursus thibetanus,asian black bear,07-17-2020 08:23:47,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus thibetanus,,
SWG Camera Traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0067/2017/10/image_00014.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/public/lao/loc_0067/2017/10/image_00014.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/public/lao/loc_0067/2017/10/image_00014.jpg,SWG Camera Traps : c89a6f8f-8c29-11eb-b0f4-000d3a74c7de,SWG Camera Traps : f57be63a-8c29-11eb-b2fd-000d3a74c7de,SWG Camera Traps : loc_0067,0,asiatic_black_bear,ursus thibetanus,asian black bear,10-15-2017 16:51:36,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus thibetanus,,
SWG Camera Traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0329/2020/05/image_00006.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/public/lao/loc_0329/2020/05/image_00006.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/public/lao/loc_0329/2020/05/image_00006.jpg,SWG Camera Traps : c96f7b4b-8c29-11eb-8169-000d3a74c7de,SWG Camera Traps : 3d2974c1-8c2a-11eb-bbac-000d3a74c7de,SWG Camera Traps : loc_0329,3,asiatic_black_bear,ursus thibetanus,asian black bear,05-04-2020 04:19:40,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus thibetanus,,
SWG Camera Traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0545/2020/08/image_00011.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/public/lao/loc_0545/2020/08/image_00011.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/public/lao/loc_0545/2020/08/image_00011.jpg,SWG Camera Traps : cce32cce-8c29-11eb-9778-000d3a74c7de,SWG Camera Traps : e2409375-8c29-11eb-8863-000d3a74c7de,SWG Camera Traps : loc_0545,9,asiatic_black_bear,ursus thibetanus,asian black bear,08-17-2020 10:51:17,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus thibetanus,,
SWG Camera Traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0331/2020/04/image_00078.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/public/lao/loc_0331/2020/04/image_00078.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/public/lao/loc_0331/2020/04/image_00078.jpg,SWG Camera Traps : c9783338-8c29-11eb-b37c-000d3a74c7de,SWG Camera Traps : 21e5dfbc-8c2a-11eb-8fb6-000d3a74c7de,SWG Camera Traps : loc_0331,72,asiatic_black_bear,ursus thibetanus,asian black bear,04-05-2020 23:49:20,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus thibetanus,,
SWG Camera Traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0544/2020/08/image_00229.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/public/lao/loc_0544/2020/08/image_00229.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/public/lao/loc_0544/2020/08/image_00229.jpg,SWG Camera Traps : cce0c66e-8c29-11eb-a2ac-000d3a74c7de,SWG Camera Traps : f703183f-8c29-11eb-ab38-000d3a74c7de,SWG Camera Traps : loc_0544,185,asiatic_black_bear,ursus thibetanus,asian black bear,08-17-2020 10:20:51,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus thibetanus,,
SWG Camera Traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0089/2017/10/image_00067.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/public/lao/loc_0089/2017/10/image_00067.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/public/lao/loc_0089/2017/10/image_00067.jpg,SWG Camera Traps : c8f765d1-8c29-11eb-a0ee-000d3a74c7de,SWG Camera Traps : 3cd8bef4-8c2a-11eb-a5c2-000d3a74c7de,SWG Camera Traps : loc_0089,0,asiatic_black_bear,ursus thibetanus,asian black bear,10-09-2017 11:42:56,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus thibetanus,,
SWG Camera Traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0230/2019/02/image_00010.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/public/lao/loc_0230/2019/02/image_00010.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/public/lao/loc_0230/2019/02/image_00010.jpg,SWG Camera Traps : d0d14951-8c29-11eb-9fe7-000d3a74c7de,SWG Camera Traps : fbeda6e8-8c29-11eb-9b40-000d3a74c7de,SWG Camera Traps : loc_0230,7,asiatic_black_bear,ursus thibetanus,asian black bear,02-23-2019 16:05:16,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus thibetanus,,
SWG Camera Traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/public/lao/loc_0517/2020/04/image_00062.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/public/lao/loc_0517/2020/04/image_00062.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/public/lao/loc_0517/2020/04/image_00062.jpg,SWG Camera Traps : cc58e354-8c29-11eb-bdc8-000d3a74c7de,SWG Camera Traps : 3d75c005-8c2a-11eb-937f-000d3a74c7de,SWG Camera Traps : loc_0517,1,asiatic_black_bear,ursus thibetanus,asian black bear,04-30-2020 17:20:46,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,ursidae,ursinae,,ursus,ursus thibetanus,,
