dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety,subset
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/SER/SER_S13/Q08/Q08_R2/SER_S13_Q08_R2_IMAG0791.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/SER/SER_S13/Q08/Q08_R2/SER_S13_Q08_R2_IMAG0791.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/SER/SER_S13/Q08/Q08_R2/SER_S13_Q08_R2_IMAG0791.JPG,Snapshot Safari 2024 Expansion : SER/SER_S13/Q08/Q08_R2/SER_S13_Q08_R2_IMAG0791.JPG,Snapshot Safari 2024 Expansion : SER_S13#Q08#2#265,Snapshot Safari 2024 Expansion : SER_S13_Q08,0,buffalo,syncerus caffer,african buffalo,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,syncerus,syncerus caffer,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/KRU/KRU_S2/7/7_R3/KRU_S2_7_R3_IMAG0148.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/KRU/KRU_S2/7/7_R3/KRU_S2_7_R3_IMAG0148.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/KRU/KRU_S2/7/7_R3/KRU_S2_7_R3_IMAG0148.JPG,Snapshot Safari 2024 Expansion : KRU/KRU_S2/7/7_R3/KRU_S2_7_R3_IMAG0148.JPG,Snapshot Safari 2024 Expansion : KRU_S2#7#3#62,Snapshot Safari 2024 Expansion : KRU_S2_7,1,buffalo,syncerus caffer,african buffalo,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,syncerus,syncerus caffer,,,test
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/SER/SER_S12/C03/C03_R3/SER_S12_C03_R3_IMAG0578.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/SER/SER_S12/C03/C03_R3/SER_S12_C03_R3_IMAG0578.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/SER/SER_S12/C03/C03_R3/SER_S12_C03_R3_IMAG0578.JPG,Snapshot Safari 2024 Expansion : SER/SER_S12/C03/C03_R3/SER_S12_C03_R3_IMAG0578.JPG,Snapshot Safari 2024 Expansion : SER_S12#C03#3#210,Snapshot Safari 2024 Expansion : SER_S12_C03,1,buffalo,syncerus caffer,african buffalo,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,syncerus,syncerus caffer,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0192/0185.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0192/0185.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0192/0185.jpg,WCS Camera Traps : 0cbab5f2-92d5-11e9-939c-000d3a74c7de,WCS Camera Traps : ken-008-d0015-13,WCS Camera Traps : 1198,44,syncerus caffer,syncerus caffer,african buffalo,09-18-2010 19:26:13,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,syncerus,syncerus caffer,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/ENO/ENO_S2/F06/F06_R3/ENO_S2_F06_R3_IMAG0391.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/ENO/ENO_S2/F06/F06_R3/ENO_S2_F06_R3_IMAG0391.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/ENO/ENO_S2/F06/F06_R3/ENO_S2_F06_R3_IMAG0391.JPG,Snapshot Safari 2024 Expansion : ENO/ENO_S2/F06/F06_R3/ENO_S2_F06_R3_IMAG0391.JPG,Snapshot Safari 2024 Expansion : ENO_S2#F06#3#149,Snapshot Safari 2024 Expansion : ENO_S2_F06,0,buffalo,syncerus caffer,african buffalo,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,syncerus,syncerus caffer,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/SER/SER_S12/D03/D03_R2/SER_S12_D03_R2_IMAG0362.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/SER/SER_S12/D03/D03_R2/SER_S12_D03_R2_IMAG0362.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/SER/SER_S12/D03/D03_R2/SER_S12_D03_R2_IMAG0362.JPG,Snapshot Safari 2024 Expansion : SER/SER_S12/D03/D03_R2/SER_S12_D03_R2_IMAG0362.JPG,Snapshot Safari 2024 Expansion : SER_S12#D03#2#135,Snapshot Safari 2024 Expansion : SER_S12_D03,1,buffalo,syncerus caffer,african buffalo,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,syncerus,syncerus caffer,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/Snapshot South Africa/BLO/BLO_S1/D04/D04_R1/BLO_S1_D04_R1_IMAG0078.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/Snapshot South Africa/BLO/BLO_S1/D04/D04_R1/BLO_S1_D04_R1_IMAG0078.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/Snapshot South Africa/BLO/BLO_S1/D04/D04_R1/BLO_S1_D04_R1_IMAG0078.JPG,Snapshot Safari 2024 Expansion : Snapshot South Africa/BLO/BLO_S1/D04/D04_R1/BLO_S1_D04_R1_IMAG0078.JPG,Snapshot Safari 2024 Expansion : BLO_S1#D04#1#31,Snapshot Safari 2024 Expansion : BLO_S1_D04,1,buffalo,syncerus caffer,african buffalo,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,syncerus,syncerus caffer,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/SER/SER_S13/B08/B08_R1/SER_S13_B08_R1_IMAG0790.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/SER/SER_S13/B08/B08_R1/SER_S13_B08_R1_IMAG0790.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/SER/SER_S13/B08/B08_R1/SER_S13_B08_R1_IMAG0790.JPG,Snapshot Safari 2024 Expansion : SER/SER_S13/B08/B08_R1/SER_S13_B08_R1_IMAG0790.JPG,Snapshot Safari 2024 Expansion : SER_S13#B08#1#789,Snapshot Safari 2024 Expansion : SER_S13_B08,0,buffalo,syncerus caffer,african buffalo,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,syncerus,syncerus caffer,,,test
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/SER/SER_S12/C03/C03_R2/SER_S12_C03_R2_IMAG0742.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/SER/SER_S12/C03/C03_R2/SER_S12_C03_R2_IMAG0742.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/SER/SER_S12/C03/C03_R2/SER_S12_C03_R2_IMAG0742.JPG,Snapshot Safari 2024 Expansion : SER/SER_S12/C03/C03_R2/SER_S12_C03_R2_IMAG0742.JPG,Snapshot Safari 2024 Expansion : SER_S12#C03#2#281,Snapshot Safari 2024 Expansion : SER_S12_C03,1,buffalo,syncerus caffer,african buffalo,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,syncerus,syncerus caffer,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD01/MAD01_R10/MAD_S3_MAD01_R10_IMAG0530.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD01/MAD01_R10/MAD_S3_MAD01_R10_IMAG0530.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD01/MAD01_R10/MAD_S3_MAD01_R10_IMAG0530.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S3/MAD01/MAD01_R10/MAD_S3_MAD01_R10_IMAG0530.JPG,Snapshot Safari 2024 Expansion : MAD_S3#MAD01#10#177,Snapshot Safari 2024 Expansion : MAD_S3_MAD01,1,buffalo,syncerus caffer,african buffalo,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,syncerus,syncerus caffer,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MTZ/MTZ_S2/D06/D06_R4/MTZ_S2_D06_R4_IMAG0527.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/MTZ/MTZ_S2/D06/D06_R4/MTZ_S2_D06_R4_IMAG0527.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/MTZ/MTZ_S2/D06/D06_R4/MTZ_S2_D06_R4_IMAG0527.JPG,Snapshot Safari 2024 Expansion : MTZ/MTZ_S2/D06/D06_R4/MTZ_S2_D06_R4_IMAG0527.JPG,Snapshot Safari 2024 Expansion : MTZ_S2#D06#4#527,Snapshot Safari 2024 Expansion : MTZ_S2_D06,0,buffalo,syncerus caffer,african buffalo,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,syncerus,syncerus caffer,,,train
