dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety,subset
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0328/1237.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0328/1237.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0328/1237.jpg,WCS Camera Traps : 3f0b63ee-92d5-11e9-8758-000d3a74c7de,WCS Camera Traps : idn-001-d0706-28,WCS Camera Traps : 2161,1,elephas maximus,elephas maximus,asian elephant,09-29-2002 16:31:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,afrotheria,proboscidea,,,,elephantidae,,,elephas,elephas maximus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0326/0250.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0326/0250.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0326/0250.jpg,WCS Camera Traps : 3e26cf9e-92d5-11e9-928c-000d3a74c7de,WCS Camera Traps : idn-001-d0153-10,WCS Camera Traps : 1836,1,elephas maximus,elephas maximus,asian elephant,08-19-1999 16:47:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,afrotheria,proboscidea,,,,elephantidae,,,elephas,elephas maximus,,,test
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0328/1368.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0328/1368.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0328/1368.jpg,WCS Camera Traps : 3f112fc4-92d5-11e9-9ec3-000d3a74c7de,WCS Camera Traps : idn-001-d0683-11,WCS Camera Traps : 2171,1,elephas maximus,elephas maximus,asian elephant,10-16-2002 15:38:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,afrotheria,proboscidea,,,,elephantidae,,,elephas,elephas maximus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0035/1997.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0035/1997.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0035/1997.jpg,WCS Camera Traps : d421ea79-92d4-11e9-956b-000d3a74c7de,WCS Camera Traps : idn-002-d0072-16,WCS Camera Traps : 539,1,elephas maximus,elephas maximus,asian elephant,05-07-1999 15:36:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,afrotheria,proboscidea,,,,elephantidae,,,elephas,elephas maximus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0326/0228.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0326/0228.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0326/0228.jpg,WCS Camera Traps : 3e25be39-92d5-11e9-82ce-000d3a74c7de,WCS Camera Traps : idn-001-d0168-5,WCS Camera Traps : 1834,2,elephas maximus,elephas maximus,asian elephant,08-21-1999 17:19:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,afrotheria,proboscidea,,,,elephantidae,,,elephas,elephas maximus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0328/0581.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0328/0581.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0328/0581.jpg,WCS Camera Traps : 3eed545b-92d5-11e9-9e2b-000d3a74c7de,WCS Camera Traps : idn-001-d0550-16,WCS Camera Traps : 2126,4,elephas maximus,elephas maximus,asian elephant,06-17-2002 19:08:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,afrotheria,proboscidea,,,,elephantidae,,,elephas,elephas maximus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0400/1773.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0400/1773.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0400/1773.jpg,WCS Camera Traps : 59415ba1-92d5-11e9-9c3f-000d3a74c7de,WCS Camera Traps : idn-003-d0026-4,WCS Camera Traps : 2849,2,elephas maximus,elephas maximus,asian elephant,04-01-2010 02:23:32,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,afrotheria,proboscidea,,,,elephantidae,,,elephas,elephas maximus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0328/0556.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0328/0556.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0328/0556.jpg,WCS Camera Traps : 3eec1b9f-92d5-11e9-8cf1-000d3a74c7de,WCS Camera Traps : idn-001-d0548-4,WCS Camera Traps : 2125,1,elephas maximus,elephas maximus,asian elephant,06-18-2002 12:47:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,afrotheria,proboscidea,,,,elephantidae,,,elephas,elephas maximus,,,test
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0328/0565.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0328/0565.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0328/0565.jpg,WCS Camera Traps : 3eec90c3-92d5-11e9-86cc-000d3a74c7de,WCS Camera Traps : idn-001-d0550-6,WCS Camera Traps : 2126,1,elephas maximus,elephas maximus,asian elephant,06-17-2002 18:42:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,afrotheria,proboscidea,,,,elephantidae,,,elephas,elephas maximus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0326/0236.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0326/0236.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0326/0236.jpg,WCS Camera Traps : 3e26334a-92d5-11e9-a97a-000d3a74c7de,WCS Camera Traps : idn-001-d0168-12,WCS Camera Traps : 1834,15,elephas maximus,elephas maximus,asian elephant,08-21-1999 18:40:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,afrotheria,proboscidea,,,,elephantidae,,,elephas,elephas maximus,,,train
