dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety,subset
Desert Lion Conservation Camera Traps,https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/panthera pardus/Camera Trap/North/Okongwe/2013/11/PvL_seq_b220cd66-64f3-40b9-ba1f-5c73ad0097fc/IM000064.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/panthera pardus/Camera Trap/North/Okongwe/2013/11/PvL_seq_b220cd66-64f3-40b9-ba1f-5c73ad0097fc/IM000064.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/panthera pardus/Camera Trap/North/Okongwe/2013/11/PvL_seq_b220cd66-64f3-40b9-ba1f-5c73ad0097fc/IM000064.JPG,Desert Lion Conservation Camera Traps : panthera pardus/Camera Trap/North/Okongwe/2013/11/PvL_seq_b220cd66-64f3-40b9-ba1f-5c73ad0097fc/IM000064.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,panthera pardus,panthera pardus,leopard,,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera pardus,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/Snapshot Cameo/DEB/DEB_S1/C5/C5_R59/DEB_S1_C5_R59_IMAG0354.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/Snapshot Cameo/DEB/DEB_S1/C5/C5_R59/DEB_S1_C5_R59_IMAG0354.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/Snapshot Cameo/DEB/DEB_S1/C5/C5_R59/DEB_S1_C5_R59_IMAG0354.JPG,Snapshot Safari 2024 Expansion : Snapshot Cameo/DEB/DEB_S1/C5/C5_R59/DEB_S1_C5_R59_IMAG0354.JPG,Snapshot Safari 2024 Expansion : DEB_S1#C5#59#347,Snapshot Safari 2024 Expansion : DEB_S1_C5,0,leopard,panthera pardus,leopard,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera pardus,,,test
Snapshot Serengeti,https://storage.googleapis.com/public-datasets-lila/snapshotserengeti-unzipped/S6/C03/C03_R1/S6_C03_R1_IMAG0251.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshotserengeti-unzipped/S6/C03/C03_R1/S6_C03_R1_IMAG0251.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshotserengeti-unzipped/S6/C03/C03_R1/S6_C03_R1_IMAG0251.JPG,Snapshot Serengeti : S6/C03/C03_R1/S6_C03_R1_IMAG0251,Snapshot Serengeti : SER_S6#C03#1#94,Snapshot Serengeti : C03,1,leopard,panthera pardus,leopard,11-28-2012 05:49:45,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera pardus,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD01/MAD01_R3/MAD_S1_MAD01_R3_IMAG2276.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD01/MAD01_R3/MAD_S1_MAD01_R3_IMAG2276.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD01/MAD01_R3/MAD_S1_MAD01_R3_IMAG2276.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S1/MAD01/MAD01_R3/MAD_S1_MAD01_R3_IMAG2276.JPG,Snapshot Safari 2024 Expansion : MAD_S1#MAD01#3#759,Snapshot Safari 2024 Expansion : MAD_S1_MAD01,1,leopard,panthera pardus,leopard,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera pardus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0348/1082.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0348/1082.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0348/1082.jpg,WCS Camera Traps : 4648195a-92d5-11e9-9b08-000d3a74c7de,WCS Camera Traps : ken-016-d0073-38,WCS Camera Traps : 1295,2,panthera pardus,panthera pardus,leopard,03-02-2009 07:47:09,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera pardus,,,train
Desert Lion Conservation Camera Traps,https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/panthera pardus/Camera Trap/Events/Leopard-Agab/2012/08/PvL_seq_d6927832-27c8-4a5a-9a42-ee5a04c5fa14/SUNP0810.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/panthera pardus/Camera Trap/Events/Leopard-Agab/2012/08/PvL_seq_d6927832-27c8-4a5a-9a42-ee5a04c5fa14/SUNP0810.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/panthera pardus/Camera Trap/Events/Leopard-Agab/2012/08/PvL_seq_d6927832-27c8-4a5a-9a42-ee5a04c5fa14/SUNP0810.JPG,Desert Lion Conservation Camera Traps : panthera pardus/Camera Trap/Events/Leopard-Agab/2012/08/PvL_seq_d6927832-27c8-4a5a-9a42-ee5a04c5fa14/SUNP0810.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,panthera pardus,panthera pardus,leopard,,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera pardus,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/ENO/ENO_S3/D06/D06_R1/ENO_S3_D06_R1_IMAG0791.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/ENO/ENO_S3/D06/D06_R1/ENO_S3_D06_R1_IMAG0791.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/ENO/ENO_S3/D06/D06_R1/ENO_S3_D06_R1_IMAG0791.JPG,Snapshot Safari 2024 Expansion : ENO/ENO_S3/D06/D06_R1/ENO_S3_D06_R1_IMAG0791.JPG,Snapshot Safari 2024 Expansion : ENO_S3#D06#1#339,Snapshot Safari 2024 Expansion : ENO_S3_D06,0,leopard,panthera pardus,leopard,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera pardus,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/APN/APN_S3/N3/N3_R9/APN_S3_N3_R9_IMAG0159.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/APN/APN_S3/N3/N3_R9/APN_S3_N3_R9_IMAG0159.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/APN/APN_S3/N3/N3_R9/APN_S3_N3_R9_IMAG0159.JPG,Snapshot Safari 2024 Expansion : APN/APN_S3/N3/N3_R9/APN_S3_N3_R9_IMAG0159.JPG,Snapshot Safari 2024 Expansion : APN_S3#N3#9#65,Snapshot Safari 2024 Expansion : APN_S3_N3,0,leopard,panthera pardus,leopard,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera pardus,,,test
Desert Lion Conservation Camera Traps,https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs/panthera pardus/Camera Trap/South/Hunkap/2014/09/PvL_seq_c7bfde83-ba5c-442a-b3eb-d8142aac7ce2/20140905-PICT0898.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs/panthera pardus/Camera Trap/South/Hunkap/2014/09/PvL_seq_c7bfde83-ba5c-442a-b3eb-d8142aac7ce2/20140905-PICT0898.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs/panthera pardus/Camera Trap/South/Hunkap/2014/09/PvL_seq_c7bfde83-ba5c-442a-b3eb-d8142aac7ce2/20140905-PICT0898.JPG,Desert Lion Conservation Camera Traps : panthera pardus/Camera Trap/South/Hunkap/2014/09/PvL_seq_c7bfde83-ba5c-442a-b3eb-d8142aac7ce2/20140905-PICT0898.JPG,Desert Lion Conservation Camera Traps : unknown,Desert Lion Conservation Camera Traps : unknown,-1,panthera pardus,panthera pardus,leopard,,image,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera pardus,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S2/H06/H06_R5/MAD_S2_H06_R5_IMAG0119.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S2/H06/H06_R5/MAD_S2_H06_R5_IMAG0119.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S2/H06/H06_R5/MAD_S2_H06_R5_IMAG0119.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S2/H06/H06_R5/MAD_S2_H06_R5_IMAG0119.JPG,Snapshot Safari 2024 Expansion : MAD_S2#H06#5#40,Snapshot Safari 2024 Expansion : MAD_S2_H06,1,leopard,panthera pardus,leopard,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,panthera pardus,,,train
