dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety,subset
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0458/0737.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0458/0737.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0458/0737.jpg,WCS Camera Traps : 6ee4ca28-92d5-11e9-86fd-000d3a74c7de,WCS Camera Traps : idn-004-d0261-5,WCS Camera Traps : 3112,2,cuon alpinus,cuon alpinus,dhole,06-18-2013 11:09:22,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,cuon,cuon alpinus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0477/0217.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0477/0217.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0477/0217.jpg,WCS Camera Traps : 75c61a2c-92d5-11e9-9703-000d3a74c7de,WCS Camera Traps : lao-001-d0273-4,WCS Camera Traps : 3580,1,cuon alpinus,cuon alpinus,dhole,11-30-2004 18:43:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,cuon,cuon alpinus,,,test
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0479/1555.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0479/1555.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0479/1555.jpg,WCS Camera Traps : 76bed247-92d5-11e9-92c8-000d3a74c7de,WCS Camera Traps : lao-005-d0105-22,WCS Camera Traps : 3849,1,cuon alpinus,cuon alpinus,dhole,02-23-2012 07:19:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,cuon,cuon alpinus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0478/0451.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0478/0451.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0478/0451.jpg,WCS Camera Traps : 762d8e99-92d5-11e9-9d85-000d3a74c7de,WCS Camera Traps : lao-004-d0006-31,WCS Camera Traps : 3778,1,cuon alpinus,cuon alpinus,dhole,03-26-2011 15:51:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,cuon,cuon alpinus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0479/1519.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0479/1519.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0479/1519.jpg,WCS Camera Traps : 76bd244a-92d5-11e9-862c-000d3a74c7de,WCS Camera Traps : lao-005-d0176-14,WCS Camera Traps : 3848,2,cuon alpinus,cuon alpinus,dhole,05-09-2012 09:09:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,cuon,cuon alpinus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0458/0726.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0458/0726.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0458/0726.jpg,WCS Camera Traps : 6ee454fc-92d5-11e9-bfa6-000d3a74c7de,WCS Camera Traps : idn-004-d0260-20,WCS Camera Traps : 3112,1,cuon alpinus,cuon alpinus,dhole,06-18-2013 11:09:38,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,cuon,cuon alpinus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0458/0745.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0458/0745.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0458/0745.jpg,WCS Camera Traps : 6ee5184a-92d5-11e9-ac99-000d3a74c7de,WCS Camera Traps : idn-004-d0261-6,WCS Camera Traps : 3112,7,cuon alpinus,cuon alpinus,dhole,06-18-2013 11:12:19,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,cuon,cuon alpinus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0477/0771.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0477/0771.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0477/0771.jpg,WCS Camera Traps : 75e03350-92d5-11e9-bc07-000d3a74c7de,WCS Camera Traps : lao-004-d0001-76,WCS Camera Traps : 3761,3,cuon alpinus,cuon alpinus,dhole,03-22-2011 13:57:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,cuon,cuon alpinus,,,test
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0478/1001.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0478/1001.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0478/1001.jpg,WCS Camera Traps : 7647a62a-92d5-11e9-9345-000d3a74c7de,WCS Camera Traps : lao-005-d0044-5,WCS Camera Traps : 3786,2,cuon alpinus,cuon alpinus,dhole,04-14-2012 08:29:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,cuon,cuon alpinus,,,train
WCS Camera Traps,https://storage.googleapis.com/public-datasets-lila/wcs-unzipped/animals/0478/0385.jpg,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/wcs-unzipped/animals/0478/0385.jpg,https://lilawildlife.blob.core.windows.net/lila-wildlife/wcs-unzipped/animals/0478/0385.jpg,WCS Camera Traps : 762aa835-92d5-11e9-835f-000d3a74c7de,WCS Camera Traps : lao-004-d0005-34,WCS Camera Traps : 3778,2,cuon alpinus,cuon alpinus,dhole,03-26-2011 15:34:00,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,cuon,cuon alpinus,,,train
