dataset_name,url_gcp,url_aws,url_azure,image_id,sequence_id,location_id,frame_num,original_label,scientific_name,common_name,datetime,annotation_level,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety,subset
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/PLN/PLN_S3a/B04/B04_R7/PLN_S3a_B04_R7_IMAG0302.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/PLN/PLN_S3a/B04/B04_R7/PLN_S3a_B04_R7_IMAG0302.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/PLN/PLN_S3a/B04/B04_R7/PLN_S3a_B04_R7_IMAG0302.JPG,Snapshot Safari 2024 Expansion : PLN/PLN_S3a/B04/B04_R7/PLN_S3a_B04_R7_IMAG0302.JPG,Snapshot Safari 2024 Expansion : PLN_S3a#B04#7#120,Snapshot Safari 2024 Expansion : PLN_S3A_B04,2,rhinoceroswhite,ceratotherium simum,white rhinoceros,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,perissodactyla,,,,rhinocerotidae,,,ceratotherium,ceratotherium simum,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD01/MAD01_R09/MAD_S3_MAD01_R09_IMAG2785.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD01/MAD01_R09/MAD_S3_MAD01_R09_IMAG2785.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD01/MAD01_R09/MAD_S3_MAD01_R09_IMAG2785.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S3/MAD01/MAD01_R09/MAD_S3_MAD01_R09_IMAG2785.JPG,Snapshot Safari 2024 Expansion : MAD_S3#MAD01#09#929,Snapshot Safari 2024 Expansion : MAD_S3_MAD01,0,rhinoceroswhite,ceratotherium simum,white rhinoceros,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,perissodactyla,,,,rhinocerotidae,,,ceratotherium,ceratotherium simum,,,test
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/PLN/PLN_S2/C02/C02_R5/PLN_S2_C02_R5_IMAG1018.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/PLN/PLN_S2/C02/C02_R5/PLN_S2_C02_R5_IMAG1018.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/PLN/PLN_S2/C02/C02_R5/PLN_S2_C02_R5_IMAG1018.JPG,Snapshot Safari 2024 Expansion : PLN/PLN_S2/C02/C02_R5/PLN_S2_C02_R5_IMAG1018.JPG,Snapshot Safari 2024 Expansion : PLN_S2#C02#5#433,Snapshot Safari 2024 Expansion : PLN_S2_C02,1,rhinoceroswhite,ceratotherium simum,white rhinoceros,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,perissodactyla,,,,rhinocerotidae,,,ceratotherium,ceratotherium simum,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R3/MAD_S1_MAD03_R3_IMAG3324.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R3/MAD_S1_MAD03_R3_IMAG3324.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R3/MAD_S1_MAD03_R3_IMAG3324.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S1/MAD03/MAD03_R3/MAD_S1_MAD03_R3_IMAG3324.JPG,Snapshot Safari 2024 Expansion : MAD_S1#MAD03#3#1108,Snapshot Safari 2024 Expansion : MAD_S1_MAD03,2,rhinoceroswhite,ceratotherium simum,white rhinoceros,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,perissodactyla,,,,rhinocerotidae,,,ceratotherium,ceratotherium simum,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD04/MAD04_R08/MAD_S3_MAD04_R08_IMAG1999.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD04/MAD04_R08/MAD_S3_MAD04_R08_IMAG1999.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD04/MAD04_R08/MAD_S3_MAD04_R08_IMAG1999.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S3/MAD04/MAD04_R08/MAD_S3_MAD04_R08_IMAG1999.JPG,Snapshot Safari 2024 Expansion : MAD_S3#MAD04#08#667,Snapshot Safari 2024 Expansion : MAD_S3_MAD04,0,rhinoceroswhite,ceratotherium simum,white rhinoceros,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,perissodactyla,,,,rhinocerotidae,,,ceratotherium,ceratotherium simum,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD06/MAD06_R09/MAD_S3_MAD06_R09_IMAG0017.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD06/MAD06_R09/MAD_S3_MAD06_R09_IMAG0017.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S3/MAD06/MAD06_R09/MAD_S3_MAD06_R09_IMAG0017.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S3/MAD06/MAD06_R09/MAD_S3_MAD06_R09_IMAG0017.JPG,Snapshot Safari 2024 Expansion : MAD_S3#MAD06#09#6,Snapshot Safari 2024 Expansion : MAD_S3_MAD06,1,rhinoceroswhite,ceratotherium simum,white rhinoceros,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,perissodactyla,,,,rhinocerotidae,,,ceratotherium,ceratotherium simum,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S2/B06/B06_R5/MAD_S2_B06_R5_IMAG0052.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S2/B06/B06_R5/MAD_S2_B06_R5_IMAG0052.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S2/B06/B06_R5/MAD_S2_B06_R5_IMAG0052.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S2/B06/B06_R5/MAD_S2_B06_R5_IMAG0052.JPG,Snapshot Safari 2024 Expansion : MAD_S2#B06#5#18,Snapshot Safari 2024 Expansion : MAD_S2_B06,0,rhinoceroswhite,ceratotherium simum,white rhinoceros,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,perissodactyla,,,,rhinocerotidae,,,ceratotherium,ceratotherium simum,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD06/MAD06_R3/MAD_S1_MAD06_R3_IMAG5196.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD06/MAD06_R3/MAD_S1_MAD06_R3_IMAG5196.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD06/MAD06_R3/MAD_S1_MAD06_R3_IMAG5196.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S1/MAD06/MAD06_R3/MAD_S1_MAD06_R3_IMAG5196.JPG,Snapshot Safari 2024 Expansion : MAD_S1#MAD06#3#1732,Snapshot Safari 2024 Expansion : MAD_S1_MAD06,2,rhinoceroswhite,ceratotherium simum,white rhinoceros,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,perissodactyla,,,,rhinocerotidae,,,ceratotherium,ceratotherium simum,,,test
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R3/MAD_S1_MAD03_R3_IMAG0345.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R3/MAD_S1_MAD03_R3_IMAG0345.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R3/MAD_S1_MAD03_R3_IMAG0345.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S1/MAD03/MAD03_R3/MAD_S1_MAD03_R3_IMAG0345.JPG,Snapshot Safari 2024 Expansion : MAD_S1#MAD03#3#115,Snapshot Safari 2024 Expansion : MAD_S1_MAD03,2,rhinoceroswhite,ceratotherium simum,white rhinoceros,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,perissodactyla,,,,rhinocerotidae,,,ceratotherium,ceratotherium simum,,,train
Snapshot Safari 2024 Expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R4/MAD_S1_MAD03_R4_IMAG4269.JPG,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R4/MAD_S1_MAD03_R4_IMAG4269.JPG,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/MAD/MAD_S1/MAD03/MAD03_R4/MAD_S1_MAD03_R4_IMAG4269.JPG,Snapshot Safari 2024 Expansion : MAD/MAD_S1/MAD03/MAD03_R4/MAD_S1_MAD03_R4_IMAG4269.JPG,Snapshot Safari 2024 Expansion : MAD_S1#MAD03#4#1424,Snapshot Safari 2024 Expansion : MAD_S1_MAD03,1,rhinoceroswhite,ceratotherium simum,white rhinoceros,,sequence,animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,perissodactyla,,,,rhinocerotidae,,,ceratotherium,ceratotherium simum,,,train
